Algorithm,Operation,Iterations,Total time (s),Time (us): mean,pop. stdev,High-prec time (ns): mean,pop. stdev.1
Dilithium2,keypair,11407.333333333334,3.0,283.58189999999996,5.545966666666668,283470.4666666667,5526.733333333334
Dilithium2,sign,3793.366666666667,3.0006,918.7378000000001,554.6238666666667,918599.8333333334,554621.6333333333
Dilithium2,verify,12433.1,3.0,266.07660000000004,4.324333333333333,265958.0333333333,4300.1
Dilithium3,keypair,6439.366666666667,3.000133333333333,496.48313333333334,4.492766666666667,496366.2,4465.4
Dilithium3,sign,2421.0,3.000766666666667,1470.8413333333335,906.9570333333336,1470712.0666666667,906956.3333333334
Dilithium3,verify,7505.5,3.0000333333333336,439.51226666666656,3.530666666666667,439398.93333333335,3504.733333333333
Dilithium5,keypair,4215.633333333333,3.000266666666667,769.6668666666666,8.046833333333334,769553.7333333333,8032.333333333333
Dilithium5,sign,1914.2333333333333,3.0009666666666672,1832.3861000000002,933.9231000000001,1832256.6333333333,933915.1333333333
Dilithium5,verify,4411.5,3.0003,744.0319333333334,5.8692,743909.7666666667,5846.733333333334
Dilithium2-AES,keypair,8334.266666666666,3.0,359.98086666666666,4.779466666666667,359866.6666666667,4755.6
Dilithium2-AES,sign,2379.6666666666665,3.0008666666666666,1261.2184666666665,779.9148666666666,1261077.2666666666,779909.0666666667
Dilithium2-AES,verify,8639.666666666666,3.0,347.2655333333333,4.498866666666667,347152.5333333333,4471.866666666667
Dilithium3-AES,keypair,4841.8,3.000266666666667,619.6664,5.222333333333334,619548.2,5197.666666666667
Dilithium3-AES,sign,1461.5333333333333,3.0011333333333328,2054.0405333333333,1306.6527333333333,2053901.8666666667,1306649.8666666667
Dilithium3-AES,verify,5247.8,3.0000666666666667,571.7353333333333,4.044733333333332,571619.0666666667,4018.9333333333334
Dilithium5-AES,keypair,3059.0666666666666,3.0004,980.8443333333332,7.234800000000002,980731.6,7221.466666666666
Dilithium5-AES,sign,1187.0666666666666,3.0009333333333332,2528.5784666666664,1346.9785333333334,2528441.1333333333,1346970.6
Dilithium5-AES,verify,3118.733333333333,3.000533333333333,962.1014666666667,6.356333333333334,961974.2666666667,6340.266666666666
Falcon-512,keypair,63.46666666666667,3.0243333333333333,47706.5626,15184.082666666665,47706443.8,15184090.333333334
Falcon-512,sign,222.0,3.0048000000000004,13535.180733333333,29.102666666666668,13535019.0,29090.266666666666
Falcon-512,verify,18692.533333333333,3.0,160.4977333333333,2.590333333333333,160377.26666666666,2551.2
Falcon-1024,keypair,22.2,3.0764000000000005,138765.5092666667,50077.6326,138765392.6,50077690.0
Falcon-1024,sign,101.26666666666667,3.0086,29712.5358,1764.2488666666663,29712391.4,1764248.8666666667
Falcon-1024,verify,9192.733333333334,3.0,326.36186666666674,3.2587333333333333,326255.13333333336,3227.9333333333334
SPHINCS+-Haraka-128f-robust,keypair,210.0,3.0032666666666663,14302.0864,14.064666666666666,14301965.333333334,14064.266666666666
SPHINCS+-Haraka-128f-robust,sign,9.0,3.231666666666667,359079.7925333334,432.65999999999997,359079695.2,432717.2
