Algorithm,Operation,Iterations,Total time (s),Time (us): mean,pop. stdev,CPU cycles: mean,pop. stdev.1
BIKE-L1,keygen,15904.133333333333,3.0,188.63506666666666,6.1034,565852.9333333333,18266.866666666665
BIKE-L1,encaps,82198.73333333334,3.0,36.49713333333333,2.5567333333333333,109437.46666666666,7568.733333333334
BIKE-L1,decaps,3437.866666666667,3.000333333333333,872.7596666666667,12.296666666666665,2618250.6666666665,36872.066666666666
BIKE-L3,keygen,5383.0,3.000066666666667,557.3585333333334,10.1846,1672024.6,30530.933333333334
BIKE-L3,encaps,36034.0,3.0,83.25593333333335,4.0726,249707.06666666668,12136.533333333333
BIKE-L3,decaps,1087.0,3.000866666666666,2760.7361333333333,16.61193333333333,8282218.066666666,49811.6
BIKE-L5,keygen,2095.2,3.0004666666666666,1432.1681999999998,14.567466666666666,4296460.666666667,43685.066666666666
BIKE-L5,encaps,16912.933333333334,3.0,177.3834666666667,5.932333333333333,532079.4666666667,17766.733333333334
BIKE-L5,decaps,353.8666666666667,3.0062666666666664,8495.613133333334,35.7582,25487013.066666666,107262.0
Classic-McEliece-348864,keygen,33.93333333333333,3.037866666666667,90936.7228,8887.991,272813115.53333336,26664237.2
Classic-McEliece-348864,encaps,226287.16666666666,3.0,13.258033333333332,2.8750666666666667,39716.8,8505.566666666668
Classic-McEliece-348864,decaps,74561.03333333334,3.0,40.236,2.656766666666667,120646.06666666667,7914.6
Classic-McEliece-348864f,keygen,38.0,3.026666666666667,79648.27373333335,108.55193333333332,238947362.2,325558.0
Classic-McEliece-348864f,encaps,225013.8,3.0,13.332666666666666,2.9500666666666664,39937.86666666667,8740.266666666666
Classic-McEliece-348864f,decaps,74389.8,3.0,40.3284,2.6723333333333334,120928.6,7983.866666666667
Classic-McEliece-460896,keygen,11.566666666666666,3.1962666666666664,279992.97363333334,24534.845199999996,839988273.4666667,73605234.33333333
Classic-McEliece-460896,encaps,123455.36666666667,3.0,24.300466666666658,6.857,72819.5,20534.7
Classic-McEliece-460896,decaps,28933.233333333334,3.0,103.69283333333334,4.637633333333333,311016.9,13845.6
Classic-McEliece-460896f,keygen,12.866666666666667,3.2134000000000005,249750.1302666667,894.0507333333333,749258774.1333333,2682059.0
Classic-McEliece-460896f,encaps,123489.06666666667,3.0,24.293799999999997,6.8713999999999995,72799.93333333333,20576.266666666666
Classic-McEliece-460896f,decaps,29116.8,3.0,103.03506666666667,4.6456,309043.6,13872.8
Classic-McEliece-6688128,keygen,8.733333333333333,3.1709000000000005,376119.6288,53542.003633333334,1128371407.3666666,160627808.03333333
Classic-McEliece-6688128,encaps,76578.36666666667,3.0,39.17583333333333,7.6169,117446.6,22819.466666666667
Classic-McEliece-6688128,decaps,24602.2,3.0,121.95163333333333,5.085566666666666,365745.06666666665,15212.333333333334
Classic-McEliece-6688128f,keygen,10.0,3.045933333333333,304599.4066666666,821.9560666666667,913808360.8,2465870.8666666667
Classic-McEliece-6688128f,encaps,76595.66666666667,3.0,39.16700000000001,7.595800000000001,117419.86666666667,22756.266666666666
Classic-McEliece-6688128f,decaps,24815.066666666666,3.0,120.8964,5.0762,362620.93333333335,15180.4
Classic-McEliece-6960119,keygen,9.3,3.2485,363244.6727,51045.420166666656,1069293824.2666667,128092728.23333333
Classic-McEliece-6960119,encaps,77347.06666666667,3.0,38.786633333333334,6.047833333333333,116279.16666666667,18102.633333333335
Classic-McEliece-6960119,decaps,26778.733333333334,3.0,112.03349999999998,4.765466666666667,336025.6,14243.4
Classic-McEliece-6960119f,keygen,11.0,3.2327333333333335,293873.0304,837.7861999999999,881628642.8666667,2513397.466666667
Classic-McEliece-6960119f,encaps,77381.33333333333,3.0,38.76926666666666,6.047133333333333,116226.53333333334,18100.466666666667
Classic-McEliece-6960119f,decaps,26904.6,3.0,111.50713333333333,4.718066666666666,334436.13333333336,14101.6
Classic-McEliece-8192128,keygen,8.966666666666667,3.2168666666666663,365255.35610000003,56158.51280000001,1095778039.8,168477428.86666667
Classic-McEliece-8192128,encaps,65646.5,3.0,45.6997,5.189633333333333,137017.8,15545.266666666666
Classic-McEliece-8192128,decaps,24423.6,3.0,122.8353,5.1506333333333325,368391.0333333333,15402.133333333333
Classic-McEliece-8192128f,keygen,10.0,3.2098000000000004,320972.71333333326,815.1089333333332,962928570.0,2445278.8666666667
Classic-McEliece-8192128f,encaps,65676.06666666667,3.0,45.679133333333326,5.185933333333333,136956.53333333333,15534.0
Classic-McEliece-8192128f,decaps,24474.6,3.0,122.57866666666665,5.116266666666666,367607.5333333333,15301.4
HQC-128,keygen,92705.93333333333,3.0,32.360600000000005,2.3144,96991.8,6859.8
HQC-128,encaps,50455.4,3.0,59.458933333333334,3.394333333333333,178295.06666666668,10078.666666666666
HQC-128,decaps,27693.866666666665,3.0,108.33400000000002,4.5852666666666675,324922.06666666665,13690.0
HQC-192,keygen,40584.066666666666,3.0,73.9214,3.8429999999999995,221656.4,11458.733333333334
HQC-192,encaps,21793.8,3.0,137.65760000000003,5.411733333333333,412862.6666666667,16186.466666666667
HQC-192,decaps,13305.0,3.0,225.4982,6.6414,676371.4,19887.466666666667
HQC-256,keygen,22327.866666666665,3.0,134.36433333333332,5.163933333333333,402967.4666666667,15451.8
HQC-256,encaps,11874.666666666666,3.0,252.6481333333333,7.167533333333333,757806.0,21472.8
HQC-256,decaps,7059.6,3.0,424.9866,9.076133333333335,1274828.8,27205.133333333335
Kyber512,keygen,355268.73333333334,3.0,8.566466666666667,1.1428333333333331,25638.466666666667,3077.5333333333333
Kyber512,encaps,323986.6666666667,3.0,9.420666666666666,1.2577666666666667,28208.333333333332,3551.233333333333
Kyber512,decaps,534257.1,3.0,5.854,1.0341666666666665,17507.933333333334,2812.5333333333333
Kyber768,keygen,262343.0,3.0,11.808733333333333,1.3233999999999997,35362.46666666667,3712.733333333333
Kyber768,encaps,235384.66666666666,3.0,13.1055,1.4206666666666665,39261.36666666667,4114.733333333334
Kyber768,decaps,354100.26666666666,3.0,8.950933333333332,1.1777333333333333,26797.033333333333,3363.266666666667
Kyber1024,keygen,200375.36666666667,3.0,15.4813,1.4889,46374.333333333336,4273.433333333333
Kyber1024,encaps,174709.5,3.0,17.693399999999997,1.7424666666666666,53024.63333333333,5000.466666666666
Kyber1024,decaps,246850.8,3.0,12.814033333333334,1.4371,38386.76666666667,4108.566666666667
Kyber512-90s,keygen,397689.2,3.0,7.5435333333333325,1.001,22571.533333333333,2602.2
Kyber512-90s,encaps,366336.4,3.0,8.189199999999998,0.9572666666666667,24509.6,2679.9333333333334
Kyber512-90s,decaps,642142.7333333333,3.0,4.671866666666667,0.8297333333333333,13957.933333333332,2028.1333333333334
Kyber768-90s,keygen,308982.2,3.0,9.7094,1.0922000000000003,29063.466666666667,2946.0
Kyber768-90s,encaps,274414.0,3.0,10.932533333333334,1.099,32740.8,3120.4666666666667
Kyber768-90s,decaps,435986.73333333334,3.0,6.880999999999999,0.8997333333333334,20584.333333333332,2457.266666666667
Kyber1024-90s,keygen,236721.4,3.0,12.673133333333334,1.2278,37954.6,3376.4666666666667
Kyber1024-90s,encaps,204693.4,3.0,14.656266666666669,1.3168000000000002,43910.46666666667,3658.8
Kyber1024-90s,decaps,302866.06666666665,3.0,9.905466666666666,1.0606000000000002,29658.4,2975.266666666667
sntrup761,keygen,11036.533333333333,3.0,271.84013333333337,7.284599999999999,815462.2,21836.733333333334
sntrup761,encaps,212337.8,3.0,14.128533333333332,1.2000000000000002,42316.86666666667,3548.3333333333335
sntrup761,decaps,200125.2,3.0,14.9906,1.2802666666666664,44909.933333333334,3719.0666666666666
FrodoKEM-640-AES,keygen,9058.6,3.0,331.1967333333333,7.985200000000001,993545.5333333333,23929.2
FrodoKEM-640-AES,encaps,6301.533333333334,3.0,476.1106666666667,9.521533333333332,1428276.2,28534.733333333334
FrodoKEM-640-AES,decaps,6381.666666666667,3.0,470.12440000000004,9.533733333333336,1410330.0666666667,28575.533333333333
FrodoKEM-640-SHAKE,keygen,3453.4,3.0004666666666666,868.8326666666667,12.873600000000001,2606435.933333333,38610.8
FrodoKEM-640-SHAKE,encaps,3058.9333333333334,3.0003999999999995,980.8922666666666,13.358866666666666,2942635.0,40072.666666666664
FrodoKEM-640-SHAKE,decaps,3080.6,3.0003999999999995,973.9986666666667,13.363333333333333,2921930.6666666665,40068.46666666667
FrodoKEM-976-AES,keygen,4714.866666666667,3.0002,636.3489999999999,10.942533333333332,1909005.8666666667,32795.86666666667
